Commit A,Commit B,Benchmark,Del Func >= X,New Func >= X,Reached Del Func >= X,Top Chg by Call >= X%,Top > X% by Call Chg by >= 10%,Top Chg Len >= X%,Top Reached Chg Len >= X%,AltCountLineBlank,CountLineInactive,MaxCyclomaticStrict,MaxNesting,AvgLineCode,AvgLineComment,Hit
af6730e7,b8607f35,p0002-read-cache.sh-perf-report,1,1,0,0,0,0.076923077,0,-1,0,0,0,0,0,FALSE
af6730e7,b8607f35,p0003-delta-base-cache.sh-perf-report,1,1,0,0,0,0.076923077,0,-1,0,0,0,0,0,FALSE
af6730e7,b8607f35,p0005-status.sh-perf-report,1,1,0,0,0,0.076923077,0,-1,0,0,0,0,0,FALSE
af6730e7,b8607f35,p0006-read-tree-checkout.sh-perf-report,1,1,0,0,0,0.076923077,0,-1,0,0,0,0,0,FALSE
af6730e7,b8607f35,p0071-sort.sh-perf-report,1,1,0,0,0,0.076923077,0,-1,0,0,0,0,0,FALSE
af6730e7,b8607f35,p3400-rebase.sh-perf-report,1,1,0,0,0,0.076923077,0,-1,0,0,0,0,0,FALSE
af6730e7,b8607f35,p3404-rebase-interactive.sh-perf-report,1,1,0,0,0,0.076923077,0,-1,0,0,0,0,0,FALSE
af6730e7,b8607f35,p4000-diff-algorithms.sh-perf-report,1,1,0,0,0,0.076923077,0,-1,0,0,0,0,0,FALSE
af6730e7,b8607f35,p4001-diff-no-index.sh-perf-report,1,1,0,0,0,0.076923077,0,-1,0,0,0,0,0,FALSE
af6730e7,b8607f35,p4211-line-log.sh-perf-report,1,1,0,0,0,0.076923077,0,-1,0,0,0,0,0,FALSE
af6730e7,b8607f35,p5302-pack-index.sh-perf-report,1,1,0,0,0,0.076923077,0,-1,0,0,0,0,0,FALSE
af6730e7,b8607f35,p5303-many-packs.sh-perf-report,1,1,0,0,0,0.076923077,0,-1,0,0,0,0,0,FALSE
af6730e7,b8607f35,p5310-pack-bitmaps.sh-perf-report,1,1,0,0,0,0.076923077,0,-1,0,0,0,0,0,FALSE
af6730e7,b8607f35,p5550-fetch-tags.sh-perf-report,1,1,0,0,0,0.076923077,0,-1,0,0,0,0,0,FALSE
af6730e7,b8607f35,p7000-filter-branch.sh-perf-report,1,1,0,0,0,0.076923077,0,-1,0,0,0,0,0,FALSE
af6730e7,b8607f35,p7300-clean.sh-perf-report,1,1,0,0,0,0.076923077,0,-1,0,0,0,0,0,FALSE
af6730e7,b8607f35,p7810-grep.sh-perf-report,1,1,0,0,0,0.076923077,0,-1,0,0,0,0,0,FALSE
4931b02f,8bc095f7,p0000-perf-lib-sanity.sh-perf-report,1,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
4931b02f,8bc095f7,p0001-rev-list.sh-perf-report,1,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
4931b02f,8bc095f7,p0002-read-cache.sh-perf-report,1,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
4931b02f,8bc095f7,p0003-delta-base-cache.sh-perf-report,1,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
4931b02f,8bc095f7,p0005-status.sh-perf-report,1,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
4931b02f,8bc095f7,p0006-read-tree-checkout.sh-perf-report,1,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
4931b02f,8bc095f7,p0071-sort.sh-perf-report,1,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
4931b02f,8bc095f7,p3400-rebase.sh-perf-report,1,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
4931b02f,8bc095f7,p3404-rebase-interactive.sh-perf-report,1,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
